"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Contract","GET/stats/top-adopters Unauthorized","0","0","1","0","0"
"","Contract","POST/external-api/roskot/register-chip Boundary name's values","0","0","3","0","0"
"","Contract","DELETE/cats/{id} invalid ID","0","0","3","0","0"
"","Contract","GET/stats/bretop-adopterseds authorized","0","0","1","0","0"
"","Contract","GET/stats/summary authorized","0","0","1","0","0"
"","Contract","POST/users/{id}/make-admin","0","0","1","0","0"
"","Contract","DELETE/users/{id} invalid user's id format","0","0","3","0","0"
"","Contract","POST/auth/register invalid payload","0","0","6","0","0"
"","Contract","POST/cats with optional fields","0","0","1","0","0"
"","Contract","PATCH/cats/{id}/health-card invalid ID format","0","0","3","0","0"
"","Contract","DELETE/cats/{id} Unauthorized","0","0","1","0","0"
"","API","GET/stats summary","0","0","1","0","0"
"","API","POST/auth/register Boundary","0","0","7","0","0"
"","Contract","POST/cats/{id}/chip success","0","0","1","0","0"
"","Contract","POST/cats/{id}/health-card success","0","0","1","0","0"
"","Contract","POST/cats/{id}/health-card unauthorized","0","0","1","0","0"
"","Contract","GET/stats/breeds authorized","0","0","1","0","0"
"","Contract","POST/cats/{id}/chip Internal Server Error","0","0","1","0","0"
"","API","Boundary","0","0","7","0","0"
"","Contract","GET/users/{id} invalid Id format","0","0","3","0","0"
"","API","GET/stats/top-adopters","0","0","1","0","0"
"","Contract","GET/cats","0","0","2","0","0"
"","Contract","GET/users unauthorized","0","0","1","0","0"
"","Contract","POST/cats invalid payload","0","0","6","0","0"
"","Contract","POST/users/{id}/make-admin invalid ID format","0","0","3","0","0"
"","Contract","GET/users/{id}/cats Unauthorized","0","0","1","0","0"
"","Contract","POST/auth/register duplicate login","0","0","1","0","0"
"","Contract","POST/cats/{id}/health-card invalid ID format","0","0","3","0","0"
"","API","PATCH/cats/{id}/health-card","0","0","1","0","0"
"","Contract","POST/cats with authorized","0","0","1","0","0"
"","Contract","POST/cats/{id}/chip invalid ID format","0","0","3","0","0"
"","API","GET/cats Filtering","0","0","3","0","0"
"","API","PATCH/cats/{id} Name conflict","0","0","1","0","0"
"","Contract","GET/users/{id}/cats invalid userId format","0","0","3","0","0"
"","API","POST/auth/register","0","0","1","0","0"
"","Contract","POST/cats duplicate name","0","0","1","0","0"
"","API","DELETE/users/{id} delete user by admin","0","0","1","0","0"
"","Contract","GET/stats/breeds Unauthorized","0","0","1","0","0"
"","API","POST/cats","0","0","3","0","0"
"","Contract","PATCH/cats/{id} invalid cat's id format","0","0","3","0","0"
