"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 25 07:22:10 UTC 2026","Wed Mar 25 07:22:10 UTC 2026","4","tests.contract.statistics","test_adopters_stats_contract","","","","test_get_adopters_stats_unauthorized_contract",""
"passed","Wed Mar 25 07:22:08 UTC 2026","Wed Mar 25 07:22:08 UTC 2026","5","tests.contract.external-api","test_register_chip_contract","","","","test_register_chip_invalid_name_contract[empty name]",""
"passed","Wed Mar 25 07:22:02 UTC 2026","Wed Mar 25 07:22:02 UTC 2026","5","tests.contract.cats","test_delete_cat_contract","","","","test_delete_invalid_ID_contract[nonexistent id]",""
"passed","Wed Mar 25 07:22:10 UTC 2026","Wed Mar 25 07:22:10 UTC 2026","6","tests.contract.statistics","test_adopters_stats_contract","","","","test_get_adopters_stats_authorized_contract",""
"passed","Wed Mar 25 07:22:10 UTC 2026","Wed Mar 25 07:22:10 UTC 2026","4","tests.contract.statistics","test_summary_stats_contract","","","","test_get_summary_authorized_contract",""
"passed","Wed Mar 25 07:22:15 UTC 2026","Wed Mar 25 07:22:15 UTC 2026","76","tests.contract.users","test_make-admin_contract","","","","test_make_admin_success",""
"passed","Wed Mar 25 07:22:12 UTC 2026","Wed Mar 25 07:22:12 UTC 2026","5","tests.contract.users","test_delete_user_contract","","","","test_delete_user_invalid_id_contract[float id format]",""
"passed","Wed Mar 25 07:21:46 UTC 2026","Wed Mar 25 07:21:46 UTC 2026","3","tests.contract.auth","test_register_contract","","","","test_register_contract_validation_error[payload1-missing 'firstName']",""
"passed","Wed Mar 25 07:21:57 UTC 2026","Wed Mar 25 07:21:57 UTC 2026","7","tests.contract.cats","test_create_cat_contract","","","","test_create_cat_with_optional_fields_contract",""
"passed","Wed Mar 25 07:22:04 UTC 2026","Wed Mar 25 07:22:04 UTC 2026","5","tests.contract.cats","test_patch_health-card_contract","","","","test_patch_health_card_invalid_id_format[invalid id format]",""
